Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
110,109,103,0,86,103,0,147
79,0,0,0,120,104,0,147
103,0,0,0,86,48,71,148
0,0,0,0,80,59,119,148
0,0,0,0,88,79,139,144
0,0,0,0,0,98,139,144
0,0,0,0,0,107,107,146
0,0,0,0,0,110,105,145
0,0,0,0,0,118,57,146
0,0,0,0,0,0,-1,146
0,0,0,0,94,0,-1,146
0,0,0,0,92,0,-1,146
0,0,0,0,93,0,57,145
0,0,0,0,0,0,89,145
0,0,0,0,0,0,86,145
0,0,0,0,0,0,89,145
0,0,0,0,0,0,88,145
134,0,0,0,89,0,89,145
0,0,0,0,0,0,86,145
0,0,0,0,0,0,89,145
105,0,0,0,89,0,89,146
122,206,0,0,103,0,-169,-164
123,116,124,0,0,125,20,142
80,94,118,0,80,82,14,145
50,65,0,0,187,75,-169,-164
93,27,0,0,0,69,34,141
65,0,0,0,0,110,68,145
0,0,0,0,0,54,-169,-164
115,0,0,0,95,112,75,144
100,0,0,0,91,58,96,144
113,0,0,0,100,76,90,144
100,0,0,0,0,90,89,144
95,0,0,0,0,87,91,144
