Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
134,0,0,0,89,0,89,145
0,0,0,0,0,0,86,145
0,0,0,0,0,0,89,145
105,0,0,0,89,0,89,146
123,116,124,0,0,125,20,142
80,94,118,0,80,82,14,145
93,27,0,0,0,69,34,141
65,0,0,0,0,110,68,145
115,0,0,0,95,112,75,144
100,0,0,0,91,58,96,144
113,0,0,0,100,76,90,144
100,0,0,0,0,90,89,144
95,0,0,0,0,87,91,144
102,128,0,0,0,62,89,144
99,0,0,0,0,68,86,144
183,0,0,0,102,114,1,142
137,149,0,0,140,130,1,143
123,0,0,0,91,123,10,144
0,0,0,0,263,120,79,144
0,0,0,0,0,112,88,144
0,0,0,0,0,114,89,144
0,0,0,0,0,129,87,145
0,0,0,0,0,0,88,144
0,0,0,0,0,0,86,144
0,67,0,0,0,0,89,144
0,0,0,0,0,0,89,145
0,0,0,0,0,0,88,145
0,0,0,0,0,0,89,145
0,0,0,0,0,0,89,146
0,0,0,0,0,0,56,145
0,253,0,0,0,0,26,145
239,205,0,0,93,0,27,145
138,166,0,0,0,142,27,146
100,154,0,0,0,116,30,142
109,0,0,0,0,107,53,142
100,0,0,272,0,90,88,145
131,196,0,0,0,75,87,146
101,135,129,0,0,48,24,142
97,100,0,0,178,125,7,142
0,0,0,0,88,68,58,145
0,0,0,0,90,101,138,142
0,0,0,0,0,144,90,143
0,0,0,0,0,159,87,143
0,0,0,0,0,167,126,143
0,119,0,0,0,0,8,146
0,0,0,0,0,0,69,143
0,0,0,0,0,0,92,145
0,0,0,0,0,0,91,145
0,0,0,0,0,0,88,145
0,0,0,0,0,0,88,144
0,0,0,0,0,0,89,145
103,0,0,0,0,0,89,144
0,0,0,0,0,0,91,143
0,0,0,0,0,0,91,144
139,220,0,0,0,0,88,144
111,142,140,0,0,0,32,145
92,0,0,0,232,0,19,144
115,0,0,0,98,93,82,145
138,0,0,0,0,85,99,144
140,0,0,0,0,61,103,144
106,0,0,0,0,79,89,141
117,269,262,0,0,73,88,143
105,210,201,0,0,48,85,141
0,149,145,0,86,113,7,145
107,0,0,0,0,108,31,144
0,0,0,0,96,113,120,144
0,0,0,0,90,127,122,141
0,0,0,0,95,0,110,144
0,0,0,0,0,0,91,145
0,0,0,0,0,0,89,144
0,0,0,0,0,0,89,144
0,0,0,0,0,0,89,144
0,0,0,0,0,127,89,144
0,0,0,0,0,0,88,141
0,0,0,0,0,0,89,144
0,0,0,0,0,0,90,144
0,0,0,0,0,0,78,144
0,175,0,0,95,0,38,144
97,103,114,0,0,0,23,144
81,79,105,0,82,79,2,144
93,0,0,0,97,46,43,144
